dataset,method,rank,iteration,lambda,RMSE
kitchen,alignf,320,4,1,1.25842162750455
kitchen,alignfc,320,4,0.1,1.26241336945043
kitchen,uniform,320,4,100,1.33392158710873
kitchen,Mklaren,10,0,0.1,1.36153466898465
kitchen,Mklaren,20,0,0.1,1.3180996828636
kitchen,Mklaren,40,0,0.1,1.28347058741261
kitchen,Mklaren,80,0,0.1,1.30383774654298
kitchen,Mklaren,160,0,1,1.27912315332561
kitchen,Mklaren,320,0,1,1.28666692772371
kitchen,Mklaren,10,1,0.001,1.35350585569369
kitchen,Mklaren,20,1,0.001,1.32089719995581
kitchen,Mklaren,40,1,0.1,1.29278284859685
kitchen,Mklaren,80,1,1,1.30270583019612
kitchen,Mklaren,160,1,1,1.28711309241092
kitchen,Mklaren,320,1,1,1.28047850845366
kitchen,Mklaren,10,2,0.001,1.34554967250428
kitchen,Mklaren,20,2,0.001,1.31647422913201
kitchen,Mklaren,40,2,0.001,1.318803442542
kitchen,Mklaren,80,2,0.1,1.30394666033101
kitchen,Mklaren,160,2,1,1.29079002170232
kitchen,Mklaren,320,2,1,1.29413930314083
kitchen,Mklaren,10,3,0.001,1.35043867855317
kitchen,Mklaren,20,3,0.01,1.31062344166483
kitchen,Mklaren,40,3,0.1,1.29119781707176
kitchen,Mklaren,80,3,0.1,1.28933638678065
kitchen,Mklaren,160,3,1,1.28569925602662
kitchen,Mklaren,320,3,1,1.2839569163266
kitchen,Mklaren,10,4,1,1.40553230353869
kitchen,Mklaren,20,4,0.001,1.32525529524866
kitchen,Mklaren,40,4,0.001,1.28867499812639
kitchen,Mklaren,80,4,0.001,1.31151029159727
kitchen,Mklaren,160,4,1,1.27992893530923
kitchen,Mklaren,320,4,1,1.27839642963717
