dataset,method,rank,iteration,lambda,RMSE
books,Mklaren,80,2,1,1.37640866667854
books,Mklaren,160,2,1,1.36330426088888
books,Mklaren,320,2,1,1.35944649502442
books,Mklaren,10,3,0.01,1.46381835248403
books,Mklaren,20,3,0.01,1.44070527081998
books,Mklaren,40,3,0.01,1.42201457054086
books,Mklaren,80,3,0.1,1.42406659993078
books,Mklaren,160,3,1,1.37955050646062
books,Mklaren,320,3,1,1.3643520310504
books,Mklaren,10,4,0.001,1.46488765600583
books,Mklaren,20,4,0.01,1.44754376499076
books,Mklaren,40,4,0.1,1.40219310180017
books,Mklaren,80,4,0.1,1.41375022511403
books,Mklaren,160,4,1,1.36751801013735
books,Mklaren,320,4,1,1.35169436148168
