experiment,signal,tsi,method,mse_f,mse_y,corr_y,mse_val,rank,lbd,n,time
periodic,T1,1,Mklaren,0,140.184225701432,-0.707576291313558,38.8539538897605,7,0,1008,16.0814790725708
periodic,T1,1,CSI,0,8.53686820186498,-0.602294292335427,6.19895748736332,7,0,1008,8.85123014450073
periodic,T1,1,Nystrom,0,11.1437226992067,-0.641749389746675,7.00145659764061,7,0,1008,0.594702959060669
periodic,T1,1,Arima,0,751.656313590445,0.09510054864262,25.6117235597447,7,0,1008,0.878787994384766
periodic,T1,1,ICD,0,10.7830647434298,-0.697181652381575,7.44097917853673,7,0,1008,2.99985599517822
periodic,T1,2,Mklaren,0,15.1975651084211,-0.220983648476836,8.4950703753156,7,0,1008,15.3362488746643
periodic,T1,2,CSI,0,32.2793100542543,0.210091061263383,11.175174663321,7,0,1008,8.71158599853516
periodic,T1,2,Nystrom,0,29.9024281913951,0.0890475969784301,11.9610603882819,7,0,1008,0.59483790397644
periodic,T1,2,Arima,0,25.1094026051558,-0.263920151121168,12.3423171360302,7,0,1008,0.87406587600708
periodic,T1,2,ICD,0,28.0473414181782,0.0183849103921948,11.0706441512341,7,0,1008,3.01546788215637
periodic,T1,3,Mklaren,0,8.29642793522597,0.119064804704294,3.10795085975292,7,0,1008,15.5244100093842
periodic,T1,3,CSI,0,175.654526460658,0.692717659090779,70.5215507539731,7,0,1008,8.79837512969971
periodic,T1,3,Nystrom,0,170.739622715888,0.667724822585001,69.784502947903,7,0,1008,0.593384027481079
periodic,T1,3,Arima,0,704.703259856742,0.466177600755958,13.6525455070323,7,0,1008,0.86879301071167
periodic,T1,3,ICD,0,175.443461852715,0.681516118753428,69.8832856130517,7,0,1008,3.06426215171814
periodic,T1,4,Mklaren,0,101.969744970426,-0.0535094733059032,85.8919461218114,7,0,1008,15.4214248657227
periodic,T1,4,CSI,0,9.20050007232557,0.116184105165934,3.99080232031271,7,0,1008,8.79189300537109
periodic,T1,4,Nystrom,0,11.3764102006526,0.0151090865695654,3.75794595312841,7,0,1008,0.594827175140381
periodic,T1,4,Arima,0,6.13099063966599,-0.243707371216378,7.55839306780477,7,0,1008,0.861777067184448
periodic,T1,4,ICD,0,9.38516232267948,-0.0109410244698172,3.96845154709291,7,0,1008,3.00994491577148
periodic,T1,5,Mklaren,0,15.0557494703292,-0.33642619064827,5.9636120552326,7,0,1008,15.6086981296539
periodic,T1,5,CSI,0,132.781364879521,-0.313626607151837,28.2258656981004,7,0,1008,8.76915001869202
periodic,T1,5,Nystrom,0,145.851475943391,-0.362246485682632,36.2602373081352,7,0,1008,0.597440958023071
periodic,T1,5,Arima,0,76.8149617599356,-0.205808515115341,19.0761669727938,7,0,1008,0.870132207870483
periodic,T1,5,ICD,0,146.909875232032,-0.392935776531652,33.3677296085844,7,0,1008,3.05687212944031
periodic,T1,7,Mklaren,0,3.28563813148348,-0.118344027948144,5.53670462666282,7,0,1008,15.4859540462494
periodic,T1,7,CSI,0,17.8162164000472,-0.156639063424705,15.1726062647164,7,0,1008,8.73273491859436
periodic,T1,7,Nystrom,0,17.7723555735819,-0.27219157899502,15.9025205359954,7,0,1008,0.595196008682251
periodic,T1,7,Arima,0,541.216198923252,-0.45637014559551,7.72341207475968,7,0,1008,0.871649980545044
periodic,T1,7,ICD,0,30.8845241794699,-0.249641429607831,19.1169393876982,7,0,1008,3.06318712234497
periodic,T1,8,Mklaren,0,30.8593597662323,-0.0443240481512623,17.5766339618484,7,0,1008,15.407478094101
periodic,T1,8,CSI,0,31.5671474967216,-0.0451406225876612,18.4030875614283,7,0,1008,8.73592591285706
periodic,T1,8,Nystrom,0,31.2690723854202,-0.0366710068758646,16.5933502912455,7,0,1008,0.594717979431152
periodic,T1,8,Arima,0,785.996565600647,0.53538003598456,4.55317970547374,7,0,1008,0.925074100494385
periodic,T1,8,ICD,0,33.4721709237869,0.0283053274588068,17.8281314357374,7,0,1008,3.01591086387634
periodic,T1,9,Mklaren,0,9.53789789103342,-0.441195595136426,12.5219397413008,7,0,1008,15.3998529911041
periodic,T1,9,CSI,0,2.37045563694054,-0.195407760366941,9.93959013798695,7,0,1008,8.73434710502625
periodic,T1,9,Nystrom,0,2.76839669536969,-0.240855173313944,9.20214608764136,7,0,1008,0.599368095397949
periodic,T1,9,Arima,0,149.978124477512,0.21947708199789,2.93288292522078,7,0,1008,0.878078937530518
periodic,T1,9,ICD,0,1.67146250788607,-0.0974186464088691,8.5064478806366,7,0,1008,3.06275486946106
periodic,T1,10,Mklaren,0,16.5648523541722,0.157886089885806,12.8100449047384,7,0,1008,15.5272657871246
periodic,T1,10,CSI,0,10.6005643772271,-0.146158467821815,10.3570970543581,7,0,1008,8.72918796539307
periodic,T1,10,Nystrom,0,13.125789699313,0.0154942630548871,8.14447486126585,7,0,1008,0.595154047012329
periodic,T1,10,Arima,0,27.2770191060981,0.132805456123102,3.65811143716201,7,0,1008,0.866899013519287
periodic,T1,10,ICD,0,13.9790339719092,0.00313109879838712,7.94658124288528,7,0,1008,3.14311003684998
periodic,T1,11,Mklaren,0,40.4137787650773,0.800343453470261,6.18350703550152,7,0,1008,15.4469518661499
periodic,T1,11,CSI,0,46.9730527402763,0.330587203834759,6.04767890474561,7,0,1008,8.70699596405029
periodic,T1,11,Nystrom,0,39.2162376485564,0.339932106141347,5.448172828564,7,0,1008,0.597070932388306
periodic,T1,11,Arima,0,52.7931858377097,-0.533489328282894,4.71121922069929,7,0,1008,0.868595838546753
