experiment,signal,tsi,method,mse_val,mse_f,mse_y,rank,lbd,n,time
exponential,T1,14,Mklaren,6.9512468243003696,0,6.9709338569529438,7,0,gamma,0.8060119152069092
exponential,T1,14,CSI,7.0475365596658053,0,7.0752971801662454,7,0,gamma,0.5172350406646729
exponential,T1,14,FITC,7.4890853236169281,0,7.5064465534348201,7,0,gamma,7.232809066772461
exponential,T1,14,Nystrom,10.634257090306198,0,11.12046594597888,7,0,gamma,0.0646660327911377
exponential,T1,14,ICD,9.689171979184076,0,9.6966341702450016,7,0,gamma,0.27344608306884766
exponential,T1,14,RFF,3.9269525606543412,0,7.3503409169395253,7,0,gamma,0.004544973373413086
exponential,T1,15,Mklaren,5.4472127104360526,0,5.45981292063985,7,0,gamma,0.8045010566711426
exponential,T1,15,CSI,7.8889008611211056,0,7.8928612750640408,7,0,gamma,0.430495023727417
exponential,T1,15,FITC,5.8544556455722194,0,5.9006104389635574,7,0,gamma,9.206788063049316
exponential,T1,15,Nystrom,6.1068244352015775,0,7.1044626348465734,7,0,gamma,0.06465792655944824
exponential,T1,15,ICD,5.9855873201526251,0,6.0192125558391982,7,0,gamma,0.27310991287231445
exponential,T1,15,RFF,5.2685888884025882,0,5.5215810578890743,7,0,gamma,0.004221916198730469
exponential,T1,16,Mklaren,14.044454731886654,0,14.031756208568192,7,0,gamma,1.0983290672302246
exponential,T1,16,CSI,24.697595479546337,0,24.67102245319564,7,0,gamma,0.5412061214447021
exponential,T1,16,FITC,15.585330532534353,0,15.5963149182432,7,0,gamma,9.770750045776367
exponential,T1,16,Nystrom,19.625488203920845,0,22.274395863054046,7,0,gamma,0.0645589828491211
exponential,T1,16,ICD,17.820638365927135,0,17.820924971073076,7,0,gamma,0.27327489852905273
exponential,T1,16,RFF,15.170977412767726,0,11.90163502068398,7,0,gamma,0.004290103912353516
exponential,T1,17,Mklaren,6.8132089747062805,0,6.8219698916787017,7,0,gamma,0.8058440685272217
exponential,T1,17,CSI,8.9970345048575044,0,9.0088079521710771,7,0,gamma,0.44074106216430664
exponential,T1,17,FITC,8.7518786401500268,0,8.917586663141547,7,0,gamma,2.131972074508667
