experiment,signal,tsi,method,mse_val,mse_f,mse_y,rank,lbd,n,time
periodic,T1,14,Nystrom,12.495517645974,0,12.9843454851341,7,0.1,per,3.365886926651
periodic,T1,14,Mklaren,8.45371426187846,0,8.46469006382309,7,0.1,per,8.47515392303467
periodic,T1,14,ICD,12.4876340477577,0,12.5174963224306,7,0.1,per,4.75663900375366
periodic,T1,15,CSI,5.98819138084763,0,6.00213202636481,7,0.1,per,2.37404799461365
periodic,T1,15,Nystrom,7.26370954633472,0,7.79145196135337,7,0.1,per,3.37936115264893
periodic,T1,15,Mklaren,5.19604888747052,0,5.2172923116054,7,0.1,per,8.5029628276825
periodic,T1,15,ICD,7.25685377751958,0,7.27068559251948,7,0.1,per,4.77050590515137
periodic,T1,16,CSI,21.2874963246556,0,21.28417978122,7,0.1,per,2.35868501663208
periodic,T1,16,Nystrom,26.0683946437726,0,25.0763474364774,7,0.1,per,3.36843013763428
periodic,T1,16,Mklaren,18.5045223827796,0,18.4726958157447,7,0.1,per,8.46804285049438
periodic,T1,16,ICD,24.8256174381381,0,24.8105127635357,7,0.1,per,4.76388216018677
periodic,T1,17,CSI,12.5281747603982,0,12.5280795905961,7,0.1,per,2.34897804260254
periodic,T1,17,Nystrom,14.7853424683053,0,13.3359095006419,7,0.1,per,3.36921286582947
periodic,T1,17,Mklaren,8.33425296232511,0,8.3248130067873,7,0.1,per,8.47511696815491
periodic,T1,17,ICD,14.9658073437861,0,14.970381983118,7,0.1,per,4.7506251335144
periodic,T1,18,CSI,8.21234649113774,0,8.22745486516705,7,0.1,per,2.35789084434509
periodic,T1,18,Nystrom,10.0143682517139,0,10.2912371422542,7,0.1,per,3.3727970123291
periodic,T1,18,Mklaren,7.9235131029055,0,7.93027088587025,7,0.1,per,8.45513820648193
periodic,T1,18,ICD,9.27978472432953,0,9.31162063342355,7,0.1,per,4.87236309051514
periodic,T1,1,CSI,14.1748991406867,0,14.1436188934654,7,0.316227766016838,per,2.37337207794189
periodic,T1,1,Nystrom,16.7188154763122,0,16.6276845245538,7,0.316227766016838,per,3.35868310928345
periodic,T1,1,Mklaren,6.72620250355164,0,6.6757790900997,7,0.316227766016838,per,8.39835214614868
periodic,T1,1,ICD,14.6575657794885,0,14.6358439591497,7,0.316227766016838,per,4.92438817024231
periodic,T1,2,CSI,3.83118139466872,0,3.80921629769864,7,0.316227766016838,per,2.37105298042297
periodic,T1,2,Nystrom,6.20129067959208,0,4.88411853017545,7,0.316227766016838,per,3.36220383644104
periodic,T1,2,Mklaren,4.32260390919864,0,4.30823583712335,7,0.316227766016838,per,8.43861222267151
periodic,T1,2,ICD,4.55321668517673,0,4.5412464086754,7,0.316227766016838,per,4.74672389030457
periodic,T1,3,CSI,2.28592935132531,0,2.29026141999579,7,0.316227766016838,per,2.3134458065033
periodic,T1,3,Nystrom,3.52222020522589,0,3.89052030422168,7,0.316227766016838,per,3.3631899356842
periodic,T1,3,Mklaren,1.31251208726135,0,1.31197538154924,7,0.316227766016838,per,8.46452617645264
periodic,T1,3,ICD,3.19487730720622,0,3.19512961067911,7,0.316227766016838,per,4.76765084266663
periodic,T1,4,CSI,2.78790705027706,0,2.80294420872566,7,0.316227766016838,per,2.32774901390076
periodic,T1,4,Nystrom,3.18487016033725,0,3.61328673017566,7,0.316227766016838,per,3.36437511444092
periodic,T1,4,Mklaren,2.92050085631236,0,2.93237041030519,7,0.316227766016838,per,8.54122185707092
periodic,T1,4,ICD,3.44938105001539,0,3.46815395451625,7,0.316227766016838,per,4.81063604354858
periodic,T1,5,CSI,12.0929823400512,0,12.0802733492024,7,0.316227766016838,per,2.35685181617737
periodic,T1,5,Nystrom,12.3161103810121,0,11.8707410703288,7,0.316227766016838,per,3.37724494934082
periodic,T1,5,Mklaren,4.47148351781975,0,4.45569940290272,7,0.316227766016838,per,8.44869709014893
periodic,T1,5,ICD,12.4772157283127,0,12.4715779261177,7,0.316227766016838,per,4.76521706581116
periodic,T1,6,CSI,5.43415646070757,0,5.42432705317773,7,0.316227766016838,per,2.32173800468445
periodic,T1,6,Nystrom,6.50262340754551,0,6.95283006068449,7,0.316227766016838,per,3.38848495483398
periodic,T1,6,Mklaren,5.83459358433623,0,5.83161646071148,7,0.316227766016838,per,8.43419599533081
periodic,T1,6,ICD,6.63821411311191,0,6.62240948392787,7,0.316227766016838,per,4.76163101196289
periodic,T1,7,CSI,4.74447965773283,0,4.7608500787336,7,0.316227766016838,per,2.33638000488281
periodic,T1,7,Nystrom,5.79184744507652,0,6.36933991937921,7,0.316227766016838,per,3.39994597434998
periodic,T1,7,Mklaren,5.15982019701867,0,5.19133064192105,7,0.316227766016838,per,8.60450887680054
periodic,T1,7,ICD,5.60055421815196,0,5.61456846960609,7,0.316227766016838,per,4.79605484008789
periodic,T1,8,CSI,7.41577429736034,0,7.43443375373521,7,0.316227766016838,per,2.31381702423096
periodic,T1,8,Nystrom,7.79823592725475,0,8.97028345264129,7,0.316227766016838,per,3.36405205726624
periodic,T1,8,Mklaren,7.55380652403688,0,7.56808224654357,7,0.316227766016838,per,8.47728204727173
periodic,T1,8,ICD,8.50063498446357,0,8.50868551133877,7,0.316227766016838,per,4.75385999679565
periodic,T1,9,CSI,5.18926321222608,0,5.19476746019935,7,0.316227766016838,per,2.21477603912354
periodic,T1,9,Nystrom,6.09014456188041,0,6.16634793276249,7,0.316227766016838,per,3.3542308807373
periodic,T1,9,Mklaren,5.84275880982908,0,5.83593834675944,7,0.316227766016838,per,8.47682213783264
periodic,T1,9,ICD,5.67045188104442,0,5.66638504211251,7,0.316227766016838,per,4.74632596969604
periodic,T1,10,CSI,6.74764101750323,0,6.71997613213116,7,0.316227766016838,per,2.29166293144226
periodic,T1,10,Nystrom,7.66249289192765,0,7.2866225636575,7,0.316227766016838,per,3.35287308692932
periodic,T1,10,Mklaren,6.71853135494624,0,6.69456173017281,7,0.316227766016838,per,8.42785596847534
periodic,T1,10,ICD,7.43798347483222,0,7.41385426421285,7,0.316227766016838,per,4.76712894439697
periodic,T1,11,CSI,5.91308834499377,0,5.92443079013345,7,0.316227766016838,per,2.28023409843445
periodic,T1,11,Nystrom,9.41296379766978,0,7.38553726141218,7,0.316227766016838,per,3.37755489349365
periodic,T1,11,Mklaren,5.98438819379144,0,5.96883233665514,7,0.316227766016838,per,8.46913409233093
periodic,T1,11,ICD,9.2301333691814,0,9.2426570052228,7,0.316227766016838,per,4.76922297477722
periodic,T1,12,CSI,5.43911100490951,0,5.44241954873553,7,0.316227766016838,per,2.26210904121399
periodic,T1,12,Nystrom,6.2963745589274,0,6.09098276122076,7,0.316227766016838,per,3.57430982589722
periodic,T1,12,Mklaren,5.19359972548027,0,5.18692221963578,7,0.316227766016838,per,8.43031096458435
periodic,T1,12,ICD,6.07021102693602,0,6.06621141971605,7,0.316227766016838,per,4.78990006446838
periodic,T1,13,CSI,7.95537058553055,0,7.97336264137913,7,0.316227766016838,per,2.36461615562439
periodic,T1,13,Nystrom,9.97295239569451,0,11.2773581795832,7,0.316227766016838,per,3.35514116287231
periodic,T1,13,Mklaren,7.04444694022987,0,7.06004084107858,7,0.316227766016838,per,8.51865005493164
periodic,T1,13,ICD,10.0930349764839,0,10.1197736113426,7,0.316227766016838,per,4.84912991523743
periodic,T1,14,CSI,9.60364559707691,0,9.62311798759243,7,0.316227766016838,per,2.28815507888794
periodic,T1,14,Nystrom,12.0660492646485,0,12.630706430407,7,0.316227766016838,per,3.36297297477722
periodic,T1,14,Mklaren,9.01212063275321,0,9.0230316306856,7,0.316227766016838,per,8.46396613121033
