experiment,signal,tsi,method,mse_val,mse_f,mse_y,rank,lbd,n,time
matern,T1,1,Mklaren,2.7761527668257791,0,2.7608103569207123,7,0,lengthscale,30.729016065597534
matern,T1,1,CSI,4.9206337717582764,0,4.8980719131907637,7,0,lengthscale,0.8017058372497559
matern,T1,1,FITC,2.6541660375013989,0,1.9270729272663001,7,0,lengthscale,4.271204948425293
matern,T1,1,Nystrom,6.602151202237529,0,4.3287424663635052,7,0,lengthscale,0.37810420989990234
matern,T1,1,ICD,3.4470728642139528,0,3.4392976467264678,7,0,lengthscale,15.185714960098267
matern,T1,2,Mklaren,1.208559621933093,0,1.2039650731743219,7,0,lengthscale,31.19469904899597
matern,T1,2,CSI,2.8787257543914113,0,2.8728356339863703,7,0,lengthscale,0.7695660591125488
matern,T1,2,FITC,1.5625133689934931,0,1.0305370163409953,7,0,lengthscale,4.027448892593384
matern,T1,2,Nystrom,4.1940080562212545,0,2.9103409186084122,7,0,lengthscale,0.37085914611816406
matern,T1,2,ICD,2.7487812105554803,0,2.7409399741330982,7,0,lengthscale,15.456379890441895
matern,T1,3,Mklaren,0.96827156051247254,0,0.96770646129598892,7,0,lengthscale,30.47248387336731
matern,T1,3,CSI,1.2675190939685788,0,1.2706444252816536,7,0,lengthscale,0.8062081336975098
matern,T1,3,FITC,1.0303805432668856,0,1.0409560964953262,7,0,lengthscale,11.891456127166748
matern,T1,3,Nystrom,2.5968402576903937,0,1.6295464155575545,7,0,lengthscale,0.36205410957336426
matern,T1,3,ICD,1.5229097728636081,0,1.5243046855464637,7,0,lengthscale,14.64857792854309
matern,T1,4,Mklaren,1.4507919923846486,0,1.4618096745996045,7,0,lengthscale,30.143378973007202
matern,T1,4,CSI,1.5573200090311292,0,1.5687105134093164,7,0,lengthscale,0.7797281742095947
matern,T1,4,FITC,0.6649355504122797,0,1.1958318454211796,7,0,lengthscale,4.8555378913879395
matern,T1,4,Nystrom,2.6214926579498843,0,2.9299659600833041,7,0,lengthscale,0.36601781845092773
matern,T1,4,ICD,1.906937077521258,0,1.9086435093305274,7,0,lengthscale,15.015785932540894
matern,T1,5,Mklaren,3.3622910370309333,0,3.3554284507916079,7,0,lengthscale,30.38708996772766
matern,T1,5,CSI,5.0030297673190134,0,5.0082616327553868,7,0,lengthscale,0.8199779987335205
matern,T1,5,FITC,3.438599623287272,0,3.3751964058821149,7,0,lengthscale,6.448665142059326
matern,T1,5,Nystrom,5.2213385546002868,0,6.1585733500253168,7,0,lengthscale,0.3592491149902344
matern,T1,5,ICD,4.2099158487283335,0,4.2041709979054636,7,0,lengthscale,14.688934087753296
matern,T1,6,Mklaren,4.0910611354578554,0,4.0918866977566282,7,0,lengthscale,30.15748691558838
matern,T1,6,CSI,4.1833323147061394,0,4.1814095188321216,7,0,lengthscale,0.7847909927368164
matern,T1,6,FITC,4.1230323095427321,0,4.1146732446095049,7,0,lengthscale,4.90341591835022
matern,T1,6,Nystrom,5.0296186215819629,0,4.5388079461458899,7,0,lengthscale,0.35938191413879395
matern,T1,6,ICD,4.5975675668367622,0,4.5900482542696253,7,0,lengthscale,14.907478094100952
matern,T1,7,Mklaren,2.8936753045554919,0,2.9010087838453495,7,0,lengthscale,30.32547092437744
matern,T1,7,CSI,4.4308091358914572,0,4.4471459042992505,7,0,lengthscale,0.7536749839782715
matern,T1,7,FITC,2.4011693184642513,0,4.1443282646863091,7,0,lengthscale,7.466092824935913
matern,T1,7,Nystrom,5.4566450517112868,0,5.0088319341440775,7,0,lengthscale,0.3543879985809326
matern,T1,7,ICD,5.6110759515755024,0,5.6217636225939476,7,0,lengthscale,14.841584920883179
matern,T1,8,Mklaren,7.2929124409572932,0,7.3023975510641588,7,0,lengthscale,30.438634872436523
matern,T1,8,CSI,7.6031480618036893,0,7.6229366655025679,7,0,lengthscale,0.7570810317993164
matern,T1,8,FITC,5.0208903660041626,0,5.9583987102938423,7,0,lengthscale,1.0826599597930908
matern,T1,8,Nystrom,7.9881138129250617,0,7.8436654146116913,7,0,lengthscale,0.3599979877471924
matern,T1,8,ICD,8.0104895714427311,0,8.027091269354786,7,0,lengthscale,14.724887132644653
matern,T1,9,Mklaren,4.8853125474017549,0,4.8869830495917954,7,0,lengthscale,30.606718063354492
matern,T1,9,CSI,5.349468819765467,0,5.3477957884194716,7,0,lengthscale,0.778594970703125
matern,T1,9,FITC,2.455280095708201,0,1.4718681127160838,7,0,lengthscale,4.030231952667236
matern,T1,9,Nystrom,5.9681340956519069,0,5.8548289521454331,7,0,lengthscale,0.34485602378845215
matern,T1,9,ICD,5.6157029621128043,0,5.6122702275451486,7,0,lengthscale,15.068719148635864
matern,T1,10,Mklaren,4.7628775247470587,0,4.7427675884675935,7,0,lengthscale,30.676081895828247
matern,T1,10,CSI,5.9374233016799511,0,5.9165246000240721,7,0,lengthscale,0.7767801284790039
matern,T1,10,FITC,2.6409695212304647,0,3.1138417259350528,7,0,lengthscale,4.2170820236206055
matern,T1,10,Nystrom,7.0024617935884539,0,6.6218175771187804,7,0,lengthscale,0.3585388660430908
matern,T1,10,ICD,6.9444439790712913,0,6.923254980487779,7,0,lengthscale,15.05240797996521
matern,T1,11,Mklaren,1.9009232934621143,0,1.8988901226951593,7,0,lengthscale,30.719831943511963
matern,T1,11,CSI,2.4284759226699699,0,2.4264775531017642,7,0,lengthscale,0.7713298797607422
matern,T1,11,FITC,1.2811104150616643,0,1.975867842223378,7,0,lengthscale,3.600224018096924
matern,T1,11,Nystrom,4.9839328828614047,0,2.5335190657642608,7,0,lengthscale,0.3610720634460449
