n,L,iteration,method,lambda,rank,sp.corr,sp.pval,evar_tr,evar_va,evar,mse
10500,30,1,Mklaren,0,3,0.90792292965249488,0.0,0.88707108822186231,0.86826414060476453,0.86187304714650204,0.12870574317296274
10500,30,1,Mklaren,1.0000000000000001e-05,3,0.90792292965249488,0.0,0.88707108812003621,0.86826485930442043,0.86187368359100736,0.12870515013835693
10500,30,1,Mklaren,0.0001,3,0.90792292965249488,0.0,0.88707107804143048,0.86827131783671307,0.86187940160334009,0.12869982213385422
10500,30,1,Mklaren,0.001,3,0.90792570110021209,0.0,0.8870700723633953,0.86833493860079225,0.86193559516177154,0.12864746136320046
10500,30,1,Mklaren,0.01,3,0.90789715213590005,0.0,0.88697164514130211,0.86887678523590661,0.86240109604725601,0.12821371084473734
10500,30,1,Mklaren,0.10000000000000001,3,0.88937384262370323,0.0,0.86563689273281552,0.85249849716433557,0.84277291836599899,0.14650311159823529
10500,30,1,Mklaren,1.0,3,0.88045000716010136,0.0,0.66582084909625516,0.66076590658773326,0.65823143801332096,0.31845759176563482
10500,30,1,Mklaren,10.0,3,0.33961679608705564,3.2779199255970617e-135,0.051317595208580077,0.059347059896738885,0.058343712384336811,0.87742884214359151
10500,30,1,CSI,0,3,0.51474028060820265,0.0,0.41191866727934617,0.30632367276398353,0.30884610343347513,0.64401243976498057
10500,30,1,CSI,1.0000000000000001e-05,3,0.51474028060820265,0.0,0.41191866727934362,0.30632367225844215,0.3088461028399242,0.64401244031804727
10500,30,1,CSI,0.0001,3,0.51474028060820265,0.0,0.41191866727912047,0.30632366770839459,0.30884609749781772,0.64401244529578527
10500,30,1,CSI,0.001,3,0.51474033038458789,0.0,0.41191866725680892,0.30632362219084081,0.30884604406203919,0.64401249508687564
10500,30,1,CSI,0.01,3,0.5147385044504601,0.0,0.41191866502606761,0.30632316530799725,0.30884550823326268,0.64401299436843851
10500,30,1,CSI,0.10000000000000001,3,0.51470491095853854,0.0,0.41191844237892328,0.30631842612060023,0.30884000316689747,0.6440181239513556
10500,30,1,CSI,1.0,3,0.51439976986158198,0.0,0.41189659804293655,0.30625436395350997,0.30877059008617791,0.64408280258181383
10500,30,1,CSI,10.0,3,0.51113931741860863,0.0,0.4100745652054687,0.30426087482324027,0.30691125951112003,0.64581531400354086
10500,30,1,Nystrom,0,3,0.28487731235425201,5.4851063429246021e-94,0.090460114881385181,0.075430149151589104,0.092602936110435435,0.84550633347236182
10500,30,1,Nystrom,1.0000000000000001e-05,3,0.23586165859405309,3.6131376840693033e-64,0.048550725308441879,0.056996116340600797,0.060073824750777542,0.87581673535852644
10500,30,1,Nystrom,0.0001,3,0.27025591500894819,2.028201670197235e-84,0.060132725330701436,0.089740395360730987,0.078002922951911968,0.85911052516039421
10500,30,1,Nystrom,0.001,3,0.24438357568958666,6.7450432344782951e-69,0.061574612284569598,0.041933669615944066,0.065972349985244164,0.87032053017740074
