kernel,d,n,p,method,lambda,rank,limit,time
exponential_kernel,1,1000,3162,l2krr,0.1,30,3600,134.75060296058655
exponential_kernel,1,1000,3162,alignf,0.1,30,3600,inf
exponential_kernel,1,1000,3162,uniform,0.1,30,3600,74.89540815353394
exponential_kernel,1,1000,3162,RFF,0.1,30,3600,17.94998598098755
exponential_kernel,1,1000,5623,Mklaren,0.1,30,3600,717.1513249874115
exponential_kernel,1,1000,5623,alignfc,0.1,30,3600,inf
exponential_kernel,1,1000,5623,align,0.1,30,3600,2269.962715148926
exponential_kernel,1,1000,5623,l2krr,0.1,30,3600,229.04487013816833
exponential_kernel,1,1000,5623,alignf,0.1,30,3600,inf
exponential_kernel,1,1000,5623,uniform,0.1,30,3600,132.106849193573
exponential_kernel,1,1000,5623,RFF,0.1,30,3600,31.539597034454346
exponential_kernel,1,1000,10000,Mklaren,0.1,30,3600,1267.2599349021912
exponential_kernel,1,1000,10000,alignfc,0.1,30,3600,inf
exponential_kernel,1,1000,10000,align,0.1,30,3600,inf
exponential_kernel,1,1000,10000,l2krr,0.1,30,3600,401.5815808773041
exponential_kernel,1,1000,10000,alignf,0.1,30,3600,inf
exponential_kernel,1,1000,10000,uniform,0.1,30,3600,237.31275606155396
exponential_kernel,1,1000,10000,RFF,0.1,30,3600,55.49619007110596
exponential_kernel,10,1000,10,Mklaren,0.1,30,3600,2.002196788787842
exponential_kernel,10,1000,10,alignfc,0.1,30,3600,52.18550992012024
exponential_kernel,10,1000,10,FITC,0.1,30,3600,7.8931310176849365
exponential_kernel,10,1000,10,align,0.1,30,3600,8.872474908828735
exponential_kernel,10,1000,10,l2krr,0.1,30,3600,7.304746150970459
exponential_kernel,10,1000,10,alignf,0.1,30,3600,51.8985550403595
exponential_kernel,10,1000,10,uniform,0.1,30,3600,4.110975980758667
exponential_kernel,10,1000,10,RFF,0.1,30,3600,0.09601902961730957
exponential_kernel,10,1000,17,Mklaren,0.1,30,3600,3.2814061641693115
exponential_kernel,10,1000,17,alignfc,0.1,30,3600,126.48137187957764
exponential_kernel,10,1000,17,FITC,0.1,30,3600,12.685266017913818
exponential_kernel,10,1000,17,align,0.1,30,3600,13.118381023406982
exponential_kernel,10,1000,17,l2krr,0.1,30,3600,6.616750955581665
exponential_kernel,10,1000,17,alignf,0.1,30,3600,127.03012299537659
exponential_kernel,10,1000,17,uniform,0.1,30,3600,3.8515968322753906
exponential_kernel,10,1000,17,RFF,0.1,30,3600,0.1482388973236084
exponential_kernel,10,1000,31,Mklaren,0.1,30,3600,4.604801177978516
exponential_kernel,10,1000,31,alignfc,0.1,30,3600,384.3189389705658
exponential_kernel,10,1000,31,FITC,0.1,30,3600,25.7859148979187
exponential_kernel,10,1000,31,align,0.1,30,3600,19.828925848007202
exponential_kernel,10,1000,31,l2krr,0.1,30,3600,7.496864080429077
exponential_kernel,10,1000,31,alignf,0.1,30,3600,382.5868420600891
exponential_kernel,10,1000,31,uniform,0.1,30,3600,3.7287380695343018
exponential_kernel,10,1000,31,RFF,0.1,30,3600,0.22078800201416016
exponential_kernel,10,1000,56,Mklaren,0.1,30,3600,8.29214596748352
exponential_kernel,10,1000,56,alignfc,0.1,30,3600,1184.9473378658295
exponential_kernel,10,1000,56,FITC,0.1,30,3600,61.10614991188049
exponential_kernel,10,1000,56,align,0.1,30,3600,25.71663212776184
exponential_kernel,10,1000,56,l2krr,0.1,30,3600,7.662637948989868
exponential_kernel,10,1000,56,alignf,0.1,30,3600,1186.5502018928528
exponential_kernel,10,1000,56,uniform,0.1,30,3600,4.332250118255615
exponential_kernel,10,1000,56,RFF,0.1,30,3600,0.3838310241699219
exponential_kernel,10,1000,100,Mklaren,0.1,30,3600,13.73801302909851
exponential_kernel,10,1000,100,alignfc,0.1,30,3600,inf
exponential_kernel,10,1000,100,align,0.1,30,3600,42.239142179489136
exponential_kernel,10,1000,100,l2krr,0.1,30,3600,8.681221008300781
exponential_kernel,10,1000,100,alignf,0.1,30,3600,inf
exponential_kernel,10,1000,100,uniform,0.1,30,3600,5.369546890258789
exponential_kernel,10,1000,100,RFF,0.1,30,3600,0.6240758895874023
exponential_kernel,10,1000,177,Mklaren,0.1,30,3600,24.047327041625977
exponential_kernel,10,1000,177,alignfc,0.1,30,3600,inf
exponential_kernel,10,1000,177,align,0.1,30,3600,72.47755217552185
exponential_kernel,10,1000,177,l2krr,0.1,30,3600,11.739819049835205
exponential_kernel,10,1000,177,alignf,0.1,30,3600,inf
exponential_kernel,10,1000,177,uniform,0.1,30,3600,7.191014051437378
exponential_kernel,10,1000,177,RFF,0.1,30,3600,1.0879249572753906
exponential_kernel,10,1000,316,Mklaren,0.1,30,3600,41.83739686012268
exponential_kernel,10,1000,316,alignfc,0.1,30,3600,inf
exponential_kernel,10,1000,316,align,0.1,30,3600,127.13672089576721
exponential_kernel,10,1000,316,l2krr,0.1,30,3600,17.50219488143921
exponential_kernel,10,1000,316,alignf,0.1,30,3600,inf
exponential_kernel,10,1000,316,uniform,0.1,30,3600,11.210329055786133
exponential_kernel,10,1000,316,RFF,0.1,30,3600,1.918956995010376
exponential_kernel,10,1000,562,Mklaren,0.1,30,3600,71.78319787979126
exponential_kernel,10,1000,562,alignfc,0.1,30,3600,inf
exponential_kernel,10,1000,562,align,0.1,30,3600,222.69956493377686
exponential_kernel,10,1000,562,l2krr,0.1,30,3600,26.02056312561035
exponential_kernel,10,1000,562,alignf,0.1,30,3600,inf
exponential_kernel,10,1000,562,uniform,0.1,30,3600,16.350805044174194
exponential_kernel,10,1000,562,RFF,0.1,30,3600,3.3115439414978027
exponential_kernel,10,1000,1000,Mklaren,0.1,30,3600,129.78592205047607
exponential_kernel,10,1000,1000,alignfc,0.1,30,3600,inf
exponential_kernel,10,1000,1000,align,0.1,30,3600,392.70939111709595
exponential_kernel,10,1000,1000,l2krr,0.1,30,3600,44.83671808242798
exponential_kernel,10,1000,1000,alignf,0.1,30,3600,inf
exponential_kernel,10,1000,1000,uniform,0.1,30,3600,29.2009859085083
exponential_kernel,10,1000,1000,RFF,0.1,30,3600,5.831357002258301
exponential_kernel,10,1000,1778,Mklaren,0.1,30,3600,224.97608494758606
exponential_kernel,10,1000,1778,alignfc,0.1,30,3600,inf
exponential_kernel,10,1000,1778,align,0.1,30,3600,704.3405928611755
exponential_kernel,10,1000,1778,l2krr,0.1,30,3600,80.77998900413513
exponential_kernel,10,1000,1778,alignf,0.1,30,3600,inf
exponential_kernel,10,1000,1778,uniform,0.1,30,3600,50.00787687301636
exponential_kernel,10,1000,1778,RFF,0.1,30,3600,10.213356018066406
exponential_kernel,10,1000,3162,Mklaren,0.1,30,3600,399.24017095565796
exponential_kernel,10,1000,3162,alignfc,0.1,30,3600,inf
exponential_kernel,10,1000,3162,align,0.1,30,3600,1245.5526480674744
exponential_kernel,10,1000,3162,l2krr,0.1,30,3600,137.6183409690857
exponential_kernel,10,1000,3162,alignf,0.1,30,3600,inf
exponential_kernel,10,1000,3162,uniform,0.1,30,3600,79.74552297592163
exponential_kernel,10,1000,3162,RFF,0.1,30,3600,18.323429107666016
exponential_kernel,10,1000,5623,Mklaren,0.1,30,3600,718.9868519306183
exponential_kernel,10,1000,5623,alignfc,0.1,30,3600,inf
exponential_kernel,10,1000,5623,align,0.1,30,3600,2218.2072710990906
exponential_kernel,10,1000,5623,l2krr,0.1,30,3600,235.57558798789978
exponential_kernel,10,1000,5623,alignf,0.1,30,3600,inf
exponential_kernel,10,1000,5623,uniform,0.1,30,3600,137.88470005989075
exponential_kernel,10,1000,5623,RFF,0.1,30,3600,32.90097689628601
exponential_kernel,10,1000,10000,Mklaren,0.1,30,3600,1279.9924969673157
exponential_kernel,10,1000,10000,alignfc,0.1,30,3600,inf
exponential_kernel,10,1000,10000,align,0.1,30,3600,inf
exponential_kernel,10,1000,10000,l2krr,0.1,30,3600,396.10713601112366
exponential_kernel,10,1000,10000,alignf,0.1,30,3600,inf
exponential_kernel,10,1000,10000,uniform,0.1,30,3600,244.55723810195923
exponential_kernel,10,1000,10000,RFF,0.1,30,3600,55.75831604003906
exponential_kernel,100,1000,10,Mklaren,0.1,30,3600,1.9692761898040771
exponential_kernel,100,1000,10,alignfc,0.1,30,3600,52.39500594139099
exponential_kernel,100,1000,10,FITC,0.1,30,3600,8.915807962417603
exponential_kernel,100,1000,10,align,0.1,30,3600,9.297955989837646
exponential_kernel,100,1000,10,l2krr,0.1,30,3600,7.582237005233765
exponential_kernel,100,1000,10,alignf,0.1,30,3600,51.95586895942688
exponential_kernel,100,1000,10,uniform,0.1,30,3600,4.587328910827637
exponential_kernel,100,1000,10,RFF,0.1,30,3600,0.1105031967163086
exponential_kernel,100,1000,17,Mklaren,0.1,30,3600,2.8555591106414795
exponential_kernel,100,1000,17,alignfc,0.1,30,3600,129.33389496803284
exponential_kernel,100,1000,17,FITC,0.1,30,3600,13.905384063720703
exponential_kernel,100,1000,17,align,0.1,30,3600,13.08039402961731
exponential_kernel,100,1000,17,l2krr,0.1,30,3600,7.993622064590454
exponential_kernel,100,1000,17,alignf,0.1,30,3600,128.5462749004364
exponential_kernel,100,1000,17,uniform,0.1,30,3600,6.090596914291382
exponential_kernel,100,1000,17,RFF,0.1,30,3600,0.16104984283447266
exponential_kernel,100,1000,31,Mklaren,0.1,30,3600,4.931488037109375
exponential_kernel,100,1000,31,alignfc,0.1,30,3600,384.7219579219818
exponential_kernel,100,1000,31,FITC,0.1,30,3600,29.481229066848755
exponential_kernel,100,1000,31,align,0.1,30,3600,18.906091928482056
exponential_kernel,100,1000,31,l2krr,0.1,30,3600,8.954562187194824
exponential_kernel,100,1000,31,alignf,0.1,30,3600,384.29321908950806
exponential_kernel,100,1000,31,uniform,0.1,30,3600,5.574258089065552
exponential_kernel,100,1000,31,RFF,0.1,30,3600,0.24894285202026367
exponential_kernel,100,1000,56,Mklaren,0.1,30,3600,8.420830965042114
exponential_kernel,100,1000,56,alignfc,0.1,30,3600,1190.7864470481873
exponential_kernel,100,1000,56,FITC,0.1,30,3600,69.55582308769226
