kernel,d,n,p,method,lambda,rank,limit,time
exponential_kernel,100,316227,1,alignfc,0.1,5,3600,inf
exponential_kernel,100,316227,1,FITC,0.1,5,3600,52.50866389274597
exponential_kernel,100,316227,1,align,0.1,5,3600,inf
exponential_kernel,100,316227,1,Nystrom,0.1,5,3600,14.113777875900269
exponential_kernel,100,316227,1,l2krr,0.1,5,3600,inf
exponential_kernel,100,316227,1,alignf,0.1,5,3600,inf
exponential_kernel,100,316227,1,uniform,0.1,5,3600,inf
exponential_kernel,100,316227,1,RFF,0.1,5,3600,0.8218588829040527
exponential_kernel,100,316227,1,ICD,0.1,5,3600,14.10596513748169
exponential_kernel,100,1000000,1,Mklaren,0.1,5,3600,145.1824300289154
exponential_kernel,100,1000000,1,CSI,0.1,5,3600,inf
exponential_kernel,100,1000000,1,alignfc,0.1,5,3600,inf
exponential_kernel,100,1000000,1,FITC,0.1,5,3600,243.81343793869019
exponential_kernel,100,1000000,1,align,0.1,5,3600,inf
exponential_kernel,100,1000000,1,Nystrom,0.1,5,3600,48.60434103012085
exponential_kernel,100,1000000,1,l2krr,0.1,5,3600,inf
exponential_kernel,100,1000000,1,alignf,0.1,5,3600,inf
exponential_kernel,100,1000000,1,uniform,0.1,5,3600,inf
exponential_kernel,100,1000000,1,RFF,0.1,5,3600,6.269207954406738
exponential_kernel,100,1000000,1,ICD,0.1,5,3600,45.417383909225464
exponential_kernel,100,100,1,Mklaren,0.1,10,3600,0.08984804153442383
exponential_kernel,100,100,1,CSI,0.1,10,3600,0.5509159564971924
exponential_kernel,100,100,1,alignfc,0.1,10,3600,2.2930731773376465
exponential_kernel,100,100,1,FITC,0.1,10,3600,0.5324201583862305
exponential_kernel,100,100,1,align,0.1,10,3600,0.1237189769744873
exponential_kernel,100,100,1,Nystrom,0.1,10,3600,0.02674698829650879
exponential_kernel,100,100,1,l2krr,0.1,10,3600,0.11755585670471191
exponential_kernel,100,100,1,alignf,0.1,10,3600,0.07915019989013672
exponential_kernel,100,100,1,uniform,0.1,10,3600,0.10537981986999512
exponential_kernel,100,100,1,RFF,0.1,10,3600,0.024086952209472656
exponential_kernel,100,100,1,ICD,0.1,10,3600,0.029273033142089844
exponential_kernel,100,316,1,Mklaren,0.1,10,3600,0.12246894836425781
exponential_kernel,100,316,1,CSI,0.1,10,3600,0.638063907623291
exponential_kernel,100,316,1,alignfc,0.1,10,3600,0.5916697978973389
exponential_kernel,100,316,1,FITC,0.1,10,3600,0.4677000045776367
exponential_kernel,100,316,1,align,0.1,10,3600,0.4092700481414795
exponential_kernel,100,316,1,l2krr,0.1,10,3600,0.5041148662567139
exponential_kernel,100,316,1,alignf,0.1,10,3600,0.5141479969024658
exponential_kernel,100,316,1,uniform,0.1,10,3600,0.37120699882507324
exponential_kernel,100,316,1,RFF,0.1,10,3600,0.0051920413970947266
exponential_kernel,100,316,1,ICD,0.1,10,3600,0.03744101524353027
exponential_kernel,100,1000,1,Mklaren,0.1,10,3600,0.22434592247009277
exponential_kernel,100,1000,1,CSI,0.1,10,3600,1.3490350246429443
exponential_kernel,100,1000,1,alignfc,0.1,10,3600,4.25656795501709
exponential_kernel,100,1000,1,FITC,0.1,10,3600,0.6177511215209961
exponential_kernel,100,1000,1,align,0.1,10,3600,3.554847002029419
exponential_kernel,100,1000,1,Nystrom,0.1,10,3600,0.08588695526123047
exponential_kernel,100,1000,1,l2krr,0.1,10,3600,6.735422134399414
exponential_kernel,100,1000,1,alignf,0.1,10,3600,3.5653090476989746
exponential_kernel,100,1000,1,ICD,0.1,10,3600,0.08656811714172363
exponential_kernel,100,1000,1,RFF,0.1,10,3600,0.008891820907592773
exponential_kernel,100,1000,1,uniform,0.1,10,3600,3.7040388584136963
exponential_kernel,100,3162,1,Mklaren,0.1,10,3600,0.7877898216247559
exponential_kernel,100,3162,1,CSI,0.1,10,3600,9.922100067138672
exponential_kernel,100,3162,1,alignfc,0.1,10,3600,56.27403998374939
exponential_kernel,100,3162,1,FITC,0.1,10,3600,0.8455581665039062
exponential_kernel,100,3162,1,align,0.1,10,3600,49.426005840301514
exponential_kernel,100,3162,1,Nystrom,0.1,10,3600,0.1871638298034668
exponential_kernel,100,3162,1,l2krr,0.1,10,3600,131.4750428199768
exponential_kernel,100,3162,1,alignf,0.1,10,3600,48.695706844329834
exponential_kernel,100,3162,1,ICD,0.1,10,3600,0.20307397842407227
exponential_kernel,100,3162,1,RFF,0.1,10,3600,0.02196788787841797
exponential_kernel,100,3162,1,uniform,0.1,10,3600,43.28209090232849
